response,TP53
1224,3.523658502
1247,5.423081406
55,5.123092847
1495,5.041597829
61,4.780074938
1418,5.243352698
563,3.634743152
361,3.767062903
1992,5.799203941
1918,5.594878687
1483,5.969507641
656,5.181606795
1946,5.825936142
1991,6.081689034
1499,5.524060649
989,5.86735086
1348,3.568892822
1024,5.596294872
2328,5.420924734
2174,5.156046187
642,3.623667195
2505,3.658482597
1720,5.645574332
1265,6.009926491
608,3.606636657
1167,3.843110218
3622,5.360252606
884,5.557549592
2561,6.15957158
1685,5.701703581
1487,6.932850015
848,5.493352922
871,3.3328192
1966,5.139126315
1102,3.961871008
969,4.836625104
1451,3.89365195
1379,5.505685825
887,5.975219641
288,5.55340618
1756,4.95478639
546,6.078793198
1081,5.687772705
303,3.668991642
1169,3.642038248
2717,6.316356808
2278,7.037616492
1265,5.205527792
1751,6.001383625
1882,5.816987528
1684,6.21156737
927,4.116807168
547,7.535303858
178,5.835767761
92,7.032682577
260,3.763116101
2967,5.767751659
187,5.526817874
186,3.561607845
1069,5.80101569
137,6.831118846
3418,6.170765102
2163,6.302394747
1919,3.911597892
1209,5.698186521
636,6.033300324
819,4.709333228
379,5.874557327
1652,5.699973226
788,6.442091412
2478,5.578046695
562,7.107284772
1011,4.14027029
982,3.789128435
356,3.894720733
118,5.646100619
1077,3.715634233
1089,6.005378351
460,6.053014559
604,3.625724782
189,5.230009438
748,5.569054316
1355,5.276692391
1204,3.769900479
83,5.894545895
377,3.941561423
945,4.991848599
462,4.784394521
541,3.69327127
1678,4.783301123
75,3.848373366
340,5.749574755
346,3.838785177
1036,5.764011734
981,5.256446123
944,6.239890414
869,5.819377087
651,5.530652918
256,5.619352776
1184,4.978320398
1184,5.701724941
1117,4.076386998
873,4.139443621
923,3.61407782
595,5.384238588
265,4.306735787
237,5.401313264
247,6.28242998
252,4.267247756
249,6.043136952
1333,4.969944959
1073,5.34190696
1073,5.236494983
414,5.660592454
2096,4.056580333
3260,4.08443228
2780,3.909217684
2259,5.276544878
2027,3.708587063
2141,3.62105907
1880,6.747848574
2068,5.954085438
2099,6.44007227
1319,5.629999879
1509,4.613827451
1748,3.728108494
1708,3.672419083
1736,5.476686387
589,3.749649631
1441,5.204824542
1470,5.172189267
1455,5.423848256
1367,6.475221953
1364,3.766480078
1128,5.437318652
842,4.710853403
1036,6.692947785
912,6.646380941
912,6.394815003
643,3.594516649
453,5.712935523
420,3.880450734
141,4.223460137
195,3.447146175
185,5.683584497
331,3.927061681
201,5.376994415
224,3.938390788
184,5.325404282
180,4.522750568
208,5.7036925
143,3.910549412
128,5.587254927
162,6.009121612
1661,5.073213236
2648,4.863809499
1877,5.168413514
894,3.745612064
2982,5.564131809
629,5.132094109
681,6.124623833
2154,3.615365167
2521,4.151396435
2521,4.799655042
1595,5.744817006
2237,3.449186059
1161,4.722932783
1497,5.715616639
129,5.458617254
1652,4.256903026
1144,4.285988851
1167,5.384410801
425,5.049335246
999,4.834576462
504,5.823513311
128,3.615071229
134,3.596286909
145,3.632007733
126,3.736641818
78,3.494248041
118,6.000089084
94,4.871807124
433,4.034238625
372,4.034714179
261,6.498704124
328,7.357598716
266,5.794885615
295,4.272357692
191,6.396009306
701,5.211095581
789,3.659481946
797,5.729144192
2196,5.292741203
836,6.048401394
772,5.160492669
580,7.636741211
507,6.485135263
89,5.088759291
81,6.138971852
1446,5.423932738
1293,6.248360338
1233,6.211961202
468,3.558235832
816,5.846669603
965,3.64495272
1503,5.855278551
268,6.266627289
885,6.640363662
574,5.784687658
68,5.884012477
9,3.417123044
1562,5.77605777
1658,5.455042957
98,5.865181995
949,3.596388833
2089,4.905905234
139,4.195829496
1013,3.748535302
2616,5.582648856
3953,4.614264558
130,5.166101466
194,3.37908601
1189,5.720790754
1018,5.247478333
1768,5.427870611
16,6.170942474
759,3.896354949
3525,7.036712242
2661,5.793648849
2788,4.742793786
2342,5.816221286
1516,3.678269478
84,4.756010583
143,4.717428446
137,5.819672069
135,3.824801747
116,5.704862781
232,5.446309824
597,5.687269843
354,3.764422642
663,5.160121626
1264,6.00400044
233,3.919269162
679,5.461639561
1645,3.761383228
1933,4.574583018
1442,5.692863524
192,3.487886391
194,4.733169074
238,5.569418627
243,3.646489824
239,5.71281685
23,5.246123428
190,4.727552611
183,5.063032611
